策略,问题ID,类别,问题,Recall@5,MRR,耗时(ms),检索文档数,相关文档数
A_纯BM25,28,居住安全,出租房发生火灾，责任谁承担？,0.0,0.0,3.1,5,0
A_纯BM25,29,中介费,租房中介费一般谁出？没租成还要付中介费吗？,1.0,0.5,2.8,5,1
A_纯BM25,30,中介费,中介隐瞒房屋真实情况，租客能要求退中介费吗？,0.0,0.0,2.7,5,0
B_纯稠密向量,1,押金退还,租房到期后房东不退押金怎么办？,1.0,1.0,2057.4,5,3
B_纯稠密向量,2,押金退还,房东以房屋有损坏为由扣全部押金合法吗？,0.0,0.0,587.1,5,0
B_纯稠密向量,3,押金退还,提前退租押金能要回来吗？,1.0,0.25,528.3,5,1
B_纯稠密向量,4,押金退还,押金和定金有什么区别？租房时交的是哪个？,1.0,0.5,661.2,5,1
B_纯稠密向量,5,押金退还,房东拖延退押金可以要求利息赔偿吗？,1.0,0.25,683.5,5,1
B_纯稠密向量,6,合同签订,租房合同必须书面签订吗？口头约定有效吗？,1.0,0.5,601.6,5,2
B_纯稠密向量,7,合同签订,签租房合同需要注意哪些条款？,1.0,1.0,527.9,5,2
B_纯稠密向量,8,合同签订,二房东转租的房子能签合同吗？有什么风险？,1.0,0.5,657.3,5,2
B_纯稠密向量,9,合同签订,租房合同最长期限是多久？超过了怎么办？,1.0,1.0,580.3,5,3
B_纯稠密向量,10,提前退租,租客提前退租需要承担什么责任？,1.0,0.5,562.2,5,1
B_纯稠密向量,11,提前退租,因为工作调动必须提前退租，能减免违约金吗？,0.0,0.0,648.5,5,0
B_纯稠密向量,12,提前退租,房东提前收回房子需要赔偿租客吗？,1.0,0.2,502.1,5,1
B_纯稠密向量,13,提前退租,什么情况下租客可以无条件解除租赁合同？,0.0,0.0,477.1,5,0
B_纯稠密向量,14,维修责任,租房期间家电坏了谁负责维修？,1.0,1.0,460.7,5,5
B_纯稠密向量,15,维修责任,房东不修东西租客可以自行维修然后扣房租吗？,1.0,1.0,640.9,5,2
B_纯稠密向量,16,维修责任,房屋漏水导致租客物品损坏，房东要赔偿吗？,1.0,0.5,535.7,5,2
B_纯稠密向量,17,房东卖房,房东卖房后新房东能赶走租客吗？,0.0,0.0,481.9,5,0
B_纯稠密向量,18,房东卖房,租客有优先购买权吗？怎么行使？,1.0,1.0,460.2,5,5
B_纯稠密向量,19,房东卖房,房东没通知租客就把房子卖了，租客能主张什么权利？,1.0,1.0,508.9,5,2
B_纯稠密向量,20,租金上涨,合同期内房东能涨房租吗？,1.0,1.0,432.5,5,1
B_纯稠密向量,21,租金上涨,合同到期后续租房东漫天涨价怎么办？,0.0,0.0,424.4,5,0
B_纯稠密向量,22,转租,租客可以把房子转租给别人吗？,1.0,1.0,438.7,5,3
B_纯稠密向量,23,转租,未经房东同意转租会有什么后果？,1.0,0.5,499.1,5,2
B_纯稠密向量,24,违约责任,租房合同违约金一般是多少？过高能要求减少吗？,1.0,1.0,525.4,5,1
B_纯稠密向量,25,违约责任,租客拖欠房租多久房东可以解除合同？,1.0,1.0,476.8,5,3
B_纯稠密向量,26,违约责任,合同没写违约金，一方违约了能要求赔偿吗？,1.0,1.0,456.7,5,4
B_纯稠密向量,27,居住安全,出租房甲醛超标租客可以要求退房并赔偿吗？,1.0,1.0,463.5,5,2
B_纯稠密向量,28,居住安全,出租房发生火灾，责任谁承担？,1.0,0.5,455.5,5,3
B_纯稠密向量,29,中介费,租房中介费一般谁出？没租成还要付中介费吗？,1.0,1.0,546.5,5,1
B_纯稠密向量,30,中介费,中介隐瞒房屋真实情况，租客能要求退中介费吗？,1.0,0.3333,576.5,5,1
C_混合无Rerank,1,押金退还,租房到期后房东不退押金怎么办？,1.0,1.0,558.7,5,4
C_混合无Rerank,2,押金退还,房东以房屋有损坏为由扣全部押金合法吗？,0.0,0.0,481.7,5,0
C_混合无Rerank,3,押金退还,提前退租押金能要回来吗？,1.0,0.25,516.7,5,1
C_混合无Rerank,4,押金退还,押金和定金有什么区别？租房时交的是哪个？,1.0,0.5,527.7,5,1
C_混合无Rerank,5,押金退还,房东拖延退押金可以要求利息赔偿吗？,1.0,1.0,616.8,5,2
C_混合无Rerank,6,合同签订,租房合同必须书面签订吗？口头约定有效吗？,1.0,1.0,549.1,5,1
C_混合无Rerank,7,合同签订,签租房合同需要注意哪些条款？,1.0,1.0,448.0,5,2
C_混合无Rerank,8,合同签订,二房东转租的房子能签合同吗？有什么风险？,1.0,0.5,470.8,5,2
C_混合无Rerank,9,合同签订,租房合同最长期限是多久？超过了怎么办？,1.0,1.0,469.0,5,3
C_混合无Rerank,10,提前退租,租客提前退租需要承担什么责任？,0.0,0.0,473.1,5,0
C_混合无Rerank,11,提前退租,因为工作调动必须提前退租，能减免违约金吗？,0.0,0.0,443.0,5,0
C_混合无Rerank,12,提前退租,房东提前收回房子需要赔偿租客吗？,0.0,0.0,449.1,5,0
C_混合无Rerank,13,提前退租,什么情况下租客可以无条件解除租赁合同？,0.0,0.0,486.5,5,0
C_混合无Rerank,14,维修责任,租房期间家电坏了谁负责维修？,1.0,1.0,469.0,5,4
C_混合无Rerank,15,维修责任,房东不修东西租客可以自行维修然后扣房租吗？,1.0,1.0,464.1,5,2
C_混合无Rerank,16,维修责任,房屋漏水导致租客物品损坏，房东要赔偿吗？,1.0,0.5,440.1,5,2
C_混合无Rerank,17,房东卖房,房东卖房后新房东能赶走租客吗？,0.0,0.0,491.7,5,0
C_混合无Rerank,18,房东卖房,租客有优先购买权吗？怎么行使？,1.0,1.0,502.1,5,5
C_混合无Rerank,19,房东卖房,房东没通知租客就把房子卖了，租客能主张什么权利？,1.0,1.0,510.3,5,2
C_混合无Rerank,20,租金上涨,合同期内房东能涨房租吗？,1.0,1.0,471.5,5,1
C_混合无Rerank,21,租金上涨,合同到期后续租房东漫天涨价怎么办？,0.0,0.0,508.7,5,0
C_混合无Rerank,22,转租,租客可以把房子转租给别人吗？,1.0,1.0,464.8,5,3
C_混合无Rerank,23,转租,未经房东同意转租会有什么后果？,1.0,0.5,437.8,5,2
C_混合无Rerank,24,违约责任,租房合同违约金一般是多少？过高能要求减少吗？,1.0,1.0,444.6,5,3
C_混合无Rerank,25,违约责任,租客拖欠房租多久房东可以解除合同？,1.0,1.0,548.9,5,4
C_混合无Rerank,26,违约责任,合同没写违约金，一方违约了能要求赔偿吗？,1.0,1.0,518.9,5,4
C_混合无Rerank,27,居住安全,出租房甲醛超标租客可以要求退房并赔偿吗？,1.0,1.0,470.8,5,2
C_混合无Rerank,28,居住安全,出租房发生火灾，责任谁承担？,1.0,1.0,415.0,5,4
C_混合无Rerank,29,中介费,租房中介费一般谁出？没租成还要付中介费吗？,1.0,1.0,499.4,5,1
C_混合无Rerank,30,中介费,中介隐瞒房屋真实情况，租客能要求退中介费吗？,1.0,0.5,601.0,5,1
D_混合+Rerank,1,押金退还,租房到期后房东不退押金怎么办？,1.0,1.0,36087.9,5,4
D_混合+Rerank,2,押金退还,房东以房屋有损坏为由扣全部押金合法吗？,0.0,0.0,35677.8,5,0
D_混合+Rerank,3,押金退还,提前退租押金能要回来吗？,0.0,0.0,35338.3,5,0
D_混合+Rerank,4,押金退还,押金和定金有什么区别？租房时交的是哪个？,0.0,0.0,40996.3,5,0
D_混合+Rerank,5,押金退还,房东拖延退押金可以要求利息赔偿吗？,1.0,0.5,42611.8,5,2
D_混合+Rerank,6,合同签订,租房合同必须书面签订吗？口头约定有效吗？,1.0,0.5,41176.9,5,2
D_混合+Rerank,7,合同签订,签租房合同需要注意哪些条款？,1.0,1.0,37728.7,5,2
D_混合+Rerank,8,合同签订,二房东转租的房子能签合同吗？有什么风险？,1.0,0.5,37311.7,5,1
D_混合+Rerank,9,合同签订,租房合同最长期限是多久？超过了怎么办？,1.0,1.0,36908.9,5,3
D_混合+Rerank,10,提前退租,租客提前退租需要承担什么责任？,1.0,0.2,36106.1,5,1
D_混合+Rerank,11,提前退租,因为工作调动必须提前退租，能减免违约金吗？,1.0,0.2,38210.6,5,1
D_混合+Rerank,12,提前退租,房东提前收回房子需要赔偿租客吗？,1.0,0.25,40599.7,5,1
D_混合+Rerank,13,提前退租,什么情况下租客可以无条件解除租赁合同？,1.0,0.2,37280.0,5,1
D_混合+Rerank,14,维修责任,租房期间家电坏了谁负责维修？,1.0,1.0,37361.1,5,5
D_混合+Rerank,15,维修责任,房东不修东西租客可以自行维修然后扣房租吗？,1.0,0.5,36698.9,5,1
D_混合+Rerank,16,维修责任,房屋漏水导致租客物品损坏，房东要赔偿吗？,1.0,0.5,36041.0,5,2
D_混合+Rerank,17,房东卖房,房东卖房后新房东能赶走租客吗？,0.0,0.0,36431.8,5,0
D_混合+Rerank,18,房东卖房,租客有优先购买权吗？怎么行使？,1.0,1.0,36164.6,5,4
D_混合+Rerank,19,房东卖房,房东没通知租客就把房子卖了，租客能主张什么权利？,1.0,0.5,35571.5,5,2
D_混合+Rerank,20,租金上涨,合同期内房东能涨房租吗？,1.0,1.0,36953.5,5,1
D_混合+Rerank,21,租金上涨,合同到期后续租房东漫天涨价怎么办？,0.0,0.0,36727.4,5,0
D_混合+Rerank,22,转租,租客可以把房子转租给别人吗？,1.0,1.0,37009.2,5,2
D_混合+Rerank,23,转租,未经房东同意转租会有什么后果？,0.0,0.0,36620.9,5,0
D_混合+Rerank,24,违约责任,租房合同违约金一般是多少？过高能要求减少吗？,1.0,1.0,35135.9,5,3
D_混合+Rerank,25,违约责任,租客拖欠房租多久房东可以解除合同？,1.0,0.5,34919.4,5,3
D_混合+Rerank,26,违约责任,合同没写违约金，一方违约了能要求赔偿吗？,1.0,1.0,35762.2,5,3
D_混合+Rerank,27,居住安全,出租房甲醛超标租客可以要求退房并赔偿吗？,1.0,1.0,35680.1,5,2
D_混合+Rerank,28,居住安全,出租房发生火灾，责任谁承担？,1.0,0.5,35914.0,5,3
D_混合+Rerank,29,中介费,租房中介费一般谁出？没租成还要付中介费吗？,1.0,0.3333,37255.2,5,1
D_混合+Rerank,30,中介费,中介隐瞒房屋真实情况，租客能要求退中介费吗？,1.0,0.5,36822.6,5,1
